#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.28,30,35.751692
-13.8,30,35.786896
-12.75,30,35.820253
-13.41,30,35.852515
-13.23,30,35.890412
-13.07,30,35.927194
-11.77,30,35.96204
-11.92,30,35.995543
-14.87,30,36.027744
-14.27,30,36.06679
-13.53,30,36.105594
-13.76,30,36.139081
-12.58,30,36.175427
-14.59,30,36.208121
-14.23,30,36.24464
-13.15,30,36.283352
-14.0,30,36.317572
-15.01,30,37.938319
-13.14,30,37.975127
-13.61,30,38.011355
-13.64,30,38.047757
-14.57,30,38.085781
-13.39,30,38.119586
-13.36,30,38.158242
-13.91,30,38.196874
-12.86,30,38.232783
-13.81,30,38.268402
-14.33,30,38.302467
-13.84,30,38.338062
-13.0,30,38.370738
-12.27,30,38.405766
-13.01,30,38.439592
-13.32,30,38.476062
-12.81,30,38.51534
-12.73,30,38.551335
-14.98,30,38.585663
-14.7,30,38.621568
-12.84,30,38.655103
-14.03,30,38.688093
-14.94,30,38.727699
-13.16,30,38.761153
-14.22,30,38.798507
-12.99,30,38.838738
-13.96,30,38.881073
-13.51,30,38.91706
-12.86,30,38.953799
-13.84,30,38.988902
-13.86,30,39.024111
-13.51,30,39.057038
-12.98,30,39.09234
-13.67,30,39.129256
-14.28,30,39.165632
-13.3,30,39.202657
-13.22,30,39.240165
-13.9,30,39.272291
-13.43,30,39.310362
-11.87,30,39.34155
-13.2,30,39.372789
-13.94,30,39.406706
-12.96,30,39.442294
-13.34,30,39.478892
-14.37,30,39.513444
-14.65,30,39.548702
-13.65,30,39.583049
-12.37,30,39.61718
-14.04,30,39.651861
-14.01,30,39.687558
-13.21,30,39.723502
-13.18,30,39.756874
-13.07,30,39.795508
-12.38,30,39.833791
-13.72,30,39.873216
-13.97,30,39.907156
-13.7,30,39.939251
-13.14,30,39.97434
-13.65,30,40.00619
-12.48,30,40.040298
-13.51,30,40.073294
-14.01,30,40.109521
-14.07,30,40.147066
-13.7,30,40.182351
-12.23,30,40.216155
-13.67,30,40.252026
-13.97,30,40.286359
-12.3,30,40.323163
-13.03,30,41.897794
-14.07,30,41.93599
-14.09,30,41.977398
-12.43,30,42.019201
-13.16,30,42.05386
-13.64,30,42.087069
-12.75,30,42.120126
-14.16,30,42.152871
-13.92,30,42.186589
-13.39,30,42.221818
-13.29,30,42.257765
-13.21,30,42.292754
-13.35,30,42.3312
-13.87,30,42.364768
-13.06,30,42.398969
-14.27,30,42.433153
-13.79,30,42.463864
-12.77,30,42.498294
-13.92,30,42.531671
-12.52,30,42.567344
-14.71,30,42.601053
-13.48,30,42.6332
-12.69,30,42.666566
-13.99,30,42.70263
-13.17,30,42.735714
-13.01,30,42.773653
-13.78,30,42.807301
-12.81,30,42.840761
-13.25,30,42.881345
-13.73,30,42.913711
-14.07,30,42.94863
-12.5,30,42.981292
-13.13,30,43.01422
-13.99,30,43.047698
-13.44,30,43.083944
-13.79,30,43.122321
-13.82,30,43.157817
-12.68,30,43.194268
-12.99,30,43.228928
-12.78,30,43.263348
-14.19,30,43.295614
-13.18,30,43.330717
-13.81,30,43.362503
-14.01,30,43.397262
-12.71,30,43.431517
-13.4,30,43.465042
-14.07,30,43.501912
-12.91,30,43.539078
-12.96,30,43.575244
-12.71,30,43.60873
-13.54,30,43.640602
-14.4,30,43.676056
-11.54,30,43.714211
-13.36,30,43.750613
-13.55,30,43.783185
-13.48,30,43.816642
-13.19,30,43.851423
-14.72,30,43.890297
-12.7,30,43.9233
-12.99,30,43.957872
-13.03,30,43.991215
-13.51,30,44.025323
-12.68,30,44.057692
-12.97,30,44.090606
-14.32,30,44.124422
-12.89,30,44.15739
-12.86,30,44.189834
-14.83,30,44.22291
-14.37,30,45.779638
-14.1,30,45.816395
-12.84,30,45.853919
-12.12,30,45.894276
-13.06,30,45.928148
-13.07,30,45.965205
-13.98,30,46.002465
-13.31,30,46.038791
-13.77,30,46.08311
-12.78,30,46.12033
-14.13,30,46.152069
-13.52,30,46.18767
-12.73,30,46.223153
-12.97,30,46.259296
-13.64,30,46.295237
-13.91,30,46.329369
-12.31,30,46.36375
-13.86,30,46.399653
-12.97,30,46.434723
-12.62,30,46.468816
-12.74,30,46.502032
-13.2,30,46.538176
-14.65,30,46.57074
-13.27,30,46.613608
-13.43,30,46.651533
-13.25,30,46.688569
-12.28,30,46.721225
-13.14,30,46.753095
-13.24,30,46.78688
-12.67,30,46.820122
-14.28,30,46.852621
-13.69,30,46.89064
-13.07,30,46.928456
-13.35,30,46.96624
-14.15,30,47.001592
-14.0,30,47.033653
-14.25,30,47.066352
-13.75,30,47.100889
-13.75,30,47.137603
-13.17,30,47.176347
-13.78,30,47.211869
-13.95,30,47.244195
-12.96,30,47.276028
-14.16,30,47.308962
-12.42,30,47.341486
-12.79,30,47.380991
-12.74,30,47.415239
-13.53,30,47.450379
-13.43,30,47.486307
-13.32,30,47.517771
-13.8,30,47.54992
-13.52,30,47.583525
-13.23,30,47.616125
-13.11,30,47.650704
-13.66,30,47.687435
-14.05,30,47.724352
-13.84,30,47.760767
-13.5,30,47.79385
-13.97,30,47.826121
-12.66,30,47.861931
-12.98,30,47.8976
-12.95,30,47.936329
-13.37,30,47.9743
-14.91,30,48.006426
-12.21,30,48.039241
-14.52,30,48.074694
-13.43,30,48.112861
-13.58,30,48.155773
-12.2,30,48.195438
-13.78,30,49.75217
-14.46,30,49.789357
-13.16,30,49.830002
-12.89,30,49.866036
-14.7,30,49.901255
-13.59,30,49.938971
-13.74,30,49.974386
-13.86,30,50.010236
-13.81,30,50.042607
-12.97,30,50.073765
-13.68,30,50.108473
-14.69,30,50.139713
-13.96,30,50.174041
-13.67,30,50.213813
-13.02,30,50.247676
-13.64,30,50.28205
-13.51,30,50.317073
-11.66,30,50.348539
-12.86,30,50.383792
-13.68,30,50.415145
-13.55,30,50.447293
-14.01,30,50.480703
-13.45,30,50.514395
-13.83,30,50.547399
-13.72,30,50.582847
-14.03,30,50.618569
-14.77,30,50.649936
-12.25,30,50.684287
-13.76,30,50.717933
-14.21,30,50.751411
-13.69,30,50.789399
-13.94,30,50.826878
-13.53,30,50.863267
-13.19,30,50.895294
-13.51,30,50.930752
-13.75,30,50.970104
-14.23,30,51.002635
-13.69,30,51.03525
-12.76,30,51.068619
-12.19,30,51.104319
-12.65,30,51.137955
-12.59,30,51.170365
-14.28,30,51.203724
-13.4,30,51.236698
-13.42,30,51.278624
-12.61,30,51.318457
-11.92,30,51.363002
-13.79,30,51.399821
-12.17,30,51.435992
-13.94,30,51.469538
-14.46,30,51.500901
-13.0,30,51.534676
-13.52,30,51.56855
-13.98,30,51.601175
-13.64,30,51.633209
-14.11,30,51.664655
-13.29,30,51.70179
-14.01,30,51.735102
-13.85,30,51.767919
-14.28,30,51.800061
-14.36,30,51.834579
-13.74,30,51.87296
-12.7,30,51.906957
-14.0,30,51.939932
-13.48,30,51.972772
-14.4,30,52.004182
-12.9,30,52.036847
-13.77,30,52.069986
-14.29,30,53.67584
-13.56,30,53.708798
-14.13,30,53.74345
-13.49,30,53.779821
-13.49,30,53.817932
-14.33,30,53.85301
-14.41,30,53.887638
-13.34,30,53.923721
-12.85,30,53.961278
-14.66,30,53.997761
-13.89,30,54.034245
-14.38,30,54.069313
-13.86,30,54.103764
-14.19,30,54.138897
-14.6,30,54.1722
-13.68,30,54.20544
-12.99,30,54.237592
-14.17,30,54.271735
-14.14,30,54.307941
-14.2,30,54.342963
-13.32,30,54.374683
-13.11,30,54.415138
-14.13,30,54.454859
-13.51,30,54.496803
-13.79,30,54.532531
-13.19,30,54.567148
-13.79,30,54.600647
-14.08,30,54.637465
-12.94,30,54.677328
-13.44,30,54.713025
-13.78,30,54.746339
-13.27,30,54.780531
-13.58,30,54.818097
-13.08,30,54.854576
-11.62,30,54.892611
-14.29,30,54.924447
-12.53,30,54.958315
-13.37,30,54.992594
-12.17,30,55.027544
-14.08,30,55.061715
-12.37,30,55.096883
-13.37,30,55.129285
-13.84,30,55.166958
